Code;Description;Transaction Category Code;MCC Category
"3630";Extended Stay Deluxe;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3631";Sleep Inn;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3632";The Phoenician;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3633";Rank Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3634";Swissotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3635";Reso Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3636";Sarova Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3637";Ramada Inns;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3638";Howard Johnson;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3639";Mount Charlotte Thistle;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3640";Hyatt Motels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3641";Sofitel Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3642";Novotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3643";Steigenberger Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3644";EconoLodges;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3645";Queens Moat Houses;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3646";Swallow Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3647";Husa Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3648";De Vere Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3649";Radisson Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3650";Red Roof Inns;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3651";Imperial London Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3652";Embassy Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3653";Penta Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3654";Loews Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3655";Scandic Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3656";Sara Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3657";Oberoi Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3658";New Otani Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3659";Taj Hotels International;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3660";Knights Inn;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3661";Metropole Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3662";Circus Circus Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3663";Hoteles El Presidente;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3664";Flag Inns;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3665";Hampton Inn Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3666";Stakis Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3667";Luxor Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3668";Maritim Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3669";Eldorado Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3670";Arcade Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3671";Arctia Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3672";Campanile Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3673";IBUSZ Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3674";Rantasipi Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3675";Interhotel CEDOK;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3676";Monte Carlo Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3677";Climat de France Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3678";Cumulus Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3679";Silver Legacy Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3680";Hoteis Othan;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3681";Adams Mark Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3682";Sahara Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3683";Bradbury Suites;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3684";Budget Hosts Inns;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3685";Budgetel Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3686";Suisse Chalet;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3687";Clarion Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3688";Compri Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3689";Consort Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
